term,fp_count,tn_count,fp_tn_ratio
fucking,23,0,21.80925636286259
used,19,0,18.0970425138647
dems,16,0,15.312882127116287
fascist,15,0,14.384828664866815
mtg,15,0,14.384828664866815
security,15,0,14.384828664866815
city,15,0,14.384828664866815
global,14,0,13.456775202617344
leftists,14,0,13.456775202617344
propaganda,14,0,13.456775202617344
warming,14,0,13.456775202617344
alarmists,13,0,12.528721740367871
insult,13,0,12.528721740367871
congressional,13,0,12.528721740367871
corruption,11,0,10.672614815868927
conservatives,11,0,10.672614815868927
brady,11,0,10.672614815868927
rates,11,0,10.672614815868927
problem,11,0,10.672614815868927
tyranny,10,0,9.744561353619455
accusation,10,0,9.744561353619455
assassination,10,0,9.744561353619455
hunter,10,0,9.744561353619455
evil,10,0,9.744561353619455
civil,10,0,9.744561353619455
